1. ['ethanol', 'methanol']
653. ['polycaprolactone', 'polyglycolide']
654. ['sodium bromate', 'potassium bromate']
655. ['sodium stearate', 'calcium stearate']
656. ['dichloroethene', 'trichloroethene']
657. ['trichloromethane', 'tetrachloromethane']
658. ['tetraethyl lead', 'tetramethyl lead']
659. ['butyl acrylate', 'ethyl acrylate']
660. ['anisole', 'phenetole']
661. ['magnesium sulfate', 'magnesium nitrate']
662. ['vanadium pentoxide', 'vanadium trioxide']
663. ['indium oxide', 'tin oxide']
664. ['myristic acid', 'palmitic acid']
665. ['anthracene', 'phenanthrene']
666. ['ferric oxide', 'ferrous oxide']
667. ['iso-octane', 'n-octane']
668. ['hexanol', 'heptanol']
669. ['ferric nitrate', 'ferrous nitrate']
670. ['hydrochloric acid', 'hydrobromic acid']
671. ['sodium cyanide', 'potassium cyanide']
672. ['phosphoric acid', 'phosphorous acid']
673. ['propyl gallate', 'octyl gallate']
674. ['polyethylene glycol', 'polypropylene glycol']
675. ['fluorobenzene', 'iodobenzene']
676. ['2-methylpropane', '2-methylbutane']
677. ['ethyl ether', 'methyl ether']
678. ['lithium chloride', 'magnesium chloride']
679. ['dichloroethane', 'dichloropropane']
680. ['propylene glycol', 'butylene glycol']
681. ['propanal', 'butanal']
682. ['magnesium stearate', 'aluminum stearate']
683. ['silver nitrate', 'silver acetate']
684. ['cyclohexanone', 'cyclopentanone']
685. ['titanium nitride', 'boron nitride']
686. ['potassium permanganate', 'potassium dichromate']
687. ['acetonitrile', 'propionitrile']
688. ['butyl methacrylate', 'methyl methacrylate']
689. ['dimethyl sulfoxide', 'dimethyl sulfone']
690. ['diphenylamine', 'triethylamine']
